RULE ID,SECURITY GROUP NAME,FROM PORT,TO PORT,PROTOCOL,FROM REFERENCE,FROM TYPE,DESCRIPTION,DIRECTION,Notes
136,Mgt_AWX,443,443,tcp,Mgt_ToolingALB-06,Group,Mgt_ToolingALB-06 to connect via 443 to Mgt_AWX,Traversal,
137,Mgt_ToolingALB-06,8081,8081,tcp,Mgt_RevProxy,Group,Mgt_RevProxy to connect via 8081 to Mgt_ToolingALB-06,Traversal,
138,Mgt_Artifactory,80,80,tcp,Mgt_ToolingALB-06,Group,Mgt_ToolingALB-06 to connect via 80 to Mgt_Artifactory,Traversal,
139,Mgt_Artifactory,443,443,tcp,Mgt_ToolingALB-06,Group,Mgt_ToolingALB-06 to connect via 443 to Mgt_Artifactory,Traversal,
140,Mgt_YumRepo,81,81,tcp,Mgt_ToolingALB-06,Group,Mgt_ToolingALB-06 to connect via 81 to Mgt_YumRepo,Traversal,
141,Mgt_ToolingALB-06,81,81,tcp,MGMTTemp,Group,MGMTTemp to connect via 81 to Mgt_ToolingALB-06,Traversal,
142,Mgt_ToolingALB-06,81,81,tcp,APPDATATemp,Group,APPDATATemp to connect via 81 to Mgt_ToolingALB-06,Traversal,
143,Mgt_ToolingALB-06,81,81,tcp,DMZTemp,Group,DMZTemp to connect via 81 to Mgt_ToolingALB-06,Traversal,
144,Mgt_ToolingALB-06,81,81,tcp,Mgt_Windows_Instances,Group,Mgt_Windows_Instances to connect via 81 to Mgt_ToolingALB-06,Traversal,
145,Mgt_ToolingALB-06,81,81,tcp,Mgt_RHEL_Instances,Group,Mgt_RHEL_Instances to connect via 81 to Mgt_ToolingALB-06,Traversal,
146,Mgt_ToolingALB-06,81,81,tcp,AppD_Windows_Instances,Group,AppD_Windows_Instances to connect via 81 to Mgt_ToolingALB-06,Traversal,
147,Mgt_ToolingALB-06,81,81,tcp,AppD_RHEL_Instances,Group,AppD_RHEL_Instances to connect via 81 to Mgt_ToolingALB-06,Traversal,
148,Mgt_ToolingALB-06,81,81,tcp,dmz_Windows_Instances,Group,dmz_Windows_Instances to connect via 81 to Mgt_ToolingALB-06,Traversal,
149,Mgt_ToolingALB-06,81,81,tcp,dmz_RHEL_Instances,Group,dmz_RHEL_Instances to connect via 81 to Mgt_ToolingALB-06,Traversal,
150,Mgt_ToolingALB-06,80,80,tcp,Mgt_Windows_Instances,Group,Mgt_Windows_Instances to connect via 80 to Mgt_ToolingALB-06,Traversal,
151,Mgt_ToolingALB-06,80,80,tcp,Mgt_RHEL_Instances,Group,Mgt_RHEL_Instances to connect via 80 to Mgt_ToolingALB-06,Traversal,
152,Mgt_ToolingALB-06,80,80,tcp,AppD_Windows_Instances,Group,AppD_Windows_Instances to connect via 80 to Mgt_ToolingALB-06,Traversal,
153,Mgt_ToolingALB-06,80,80,tcp,AppD_RHEL_Instances,Group,AppD_RHEL_Instances to connect via 80 to Mgt_ToolingALB-06,Traversal,
154,Mgt_ToolingALB-06,80,80,tcp,dmz_Windows_Instances,Group,dmz_Windows_Instances to connect via 80 to Mgt_ToolingALB-06,Traversal,
155,Mgt_ToolingALB-06,80,80,tcp,dmz_RHEL_Instances,Group,dmz_RHEL_Instances to connect via 80 to Mgt_ToolingALB-06,Traversal,
156,Mgt_ToolingALB-06,80,80,tcp,MGMTTemp,Group,MGMTTemp to connect via 80 to Mgt_ToolingALB-06,Traversal,
157,Mgt_ToolingALB-06,80,80,tcp,APPDATATemp,Group,APPDATATemp to connect via 80 to Mgt_ToolingALB-06,Traversal,
158,Mgt_ToolingALB-06,80,80,tcp,DMZTemp,Group,DMZTemp to connect via 80 to Mgt_ToolingALB-06,Traversal,
159,dmz_WafALB-09,443,443,tcp,dmz_S2SVPN,Group,dmz_S2SVPN to connect via 443 to dmz_WafALB-09,Traversal,
161,dmz_WAF,443,443,tcp,dmz_WafALB-09,Group,dmz_WafALB-09 to connect via 443 to dmz_WAF,Traversal,
162,AppD_WAF,443,443,tcp,AppD_WafALB-11,Group,AppD_WafALB-11 to connect via 443 to AppD_WAF,Traversal,
163,dmz_AFTS,10021,10021,tcp,172.23.0.0/19,CIDR,172.23.128.0/19 to connect via 10021 to dmz_AFTS,Traversal,DMZ VPC
164,dmz_AFTS,8000,8199,tcp,dmz_S2SVPN,Group,dmz_S2SVPN to connect via 8000 to dmz_AFTS,Traversal,
165,dmz_AFTS,80,80,tcp,dmz_S2SVPN,Group,dmz_S2SVPN to connect via 80 to dmz_AFTS,Traversal,
166,dmz_AFTS,443,443,tcp,dmz_S2SVPN,Group,dmz_S2SVPN to connect via 443 to dmz_AFTS,Traversal,
167,Mgt_Trend,4122,4122,tcp,Mgt_Windows_Instances,Group,Mgt_Windows_Instances to connect via 4122 to Mgt_Trend,Traversal,
168,Mgt_Trend,4122,4122,tcp,Mgt_RHEL_Instances,Group,Mgt_RHEL_Instances to connect via 4122 to Mgt_Trend,Traversal,
169,Mgt_Trend,4122,4122,tcp,AppD_Windows_Instances,Group,AppD_Windows_Instances to connect via 4122 to Mgt_Trend,Traversal,
170,Mgt_Trend,4122,4122,tcp,AppD_RHEL_Instances,Group,AppD_RHEL_Instances to connect via 4122 to Mgt_Trend,Traversal,
